month_date	00-00000406	01-00000656	01-00002130	06-00000125	РТ-00000009	СК-00000110	СК-00000452	СК-00000830	УТ000000747	УТ000000749	УТ000001012	УТ000001013
2014-07-01	3.0	2.0	2.0	1.0	46.0	5.0	13.0	17.0	10.0	4.0	19.0	53.0
2014-08-01	12.0	3.0	5.0	3.0	163.0	8.0	42.0	59.0	25.0	8.0	107.0	104.0
2014-09-01	34.0	3.0	6.0	4.0	249.0	8.0	27.0	35.0	56.0	2.0	129.0	80.0
2014-10-01	19.0	5.0	4.0	6.0	130.0	10.0	22.0	67.0	23.0	8.0	126.0	127.0
2014-11-01	22.0	4.0	1.0	5.0	151.0	7.0	32.0	52.0	26.0	8.0	81.0	98.0
2014-12-01	83.0	10.0	6.0	11.0	209.0	28.0	104.0	46.0	93.0	13.0	324.0	254.0
2015-01-01	24.0	6.0	6.0	3.0	147.0	7.0	14.0	32.0	39.0	6.0	85.0	67.0
2015-02-01	22.0	4.0	7.0	22.0	136.0	9.0	29.0	52.0	24.0	7.0	110.0	108.0
2015-03-01	23.0	13.0	6.0	9.0	90.0	6.0	31.0	27.0	21.0	6.0	65.0	79.0
2015-04-01	22.0	15.0	6.0	3.0	148.0	2.0	19.0	18.0	30.0	3.0	59.0	53.0
2015-05-01	24.0	9.0	4.0	4.0	117.0	6.0	17.0	10.0	29.0	2.0	33.0	48.0
2015-06-01	11.0	10.0	3.0	3.0	101.0	5.0	18.0	27.0	22.0	3.0	39.0	68.0
2015-07-01	16.0	8.0	4.0	3.0	97.0	4.0	15.0	18.0	13.0	6.0	31.0	45.0
2015-08-01	13.0	15.0	6.0	3.0	90.0	3.0	21.0	18.0	10.0	4.0	34.0	47.0
2015-09-01	11.0	7.0	3.0	9.0	59.0	6.0	17.0	17.0	9.0	6.0	35.0	39.0
2015-10-01	18.0	8.0	6.0	10.0	88.0	6.0	15.0	23.0	10.0	2.0	42.0	35.0
2015-11-01	8.0	12.0	10.0	2.0	88.0	4.0	11.0	18.0	10.0	6.0	37.0	48.0
2015-12-01	25.0	5.0	19.0	9.0	138.0	32.0	144.0	36.0	42.0	18.0	166.0	210.0
2016-01-01	9.0	2.0	9.0	14.0	33.0	6.0	27.0	19.0	14.0	2.0	65.0	52.0
2016-02-01	16.0	2.0	7.0	24.0	59.0	12.0	60.0	18.0	25.0	13.0	73.0	90.0
2016-03-01	7.0	9.0	6.0	13.0	47.0	7.0	33.0	11.0	14.0	6.0	56.0	53.0
2016-04-01	6.0	13.0	7.0	3.0	46.0	8.0	16.0	15.0	13.0	3.0	25.0	38.0
2016-05-01	5.0	1.0	3.0	4.0	60.0	5.0	13.0	28.0	11.0	1.0	30.0	31.0
2016-06-01	4.0	3.0	4.0	2.0	34.0	5.0	12.0	88.0	22.0	3.0	39.0	36.0
2016-07-01	4.0	2.0	6.0	6.0	48.0	1.0	11.0	2.0	16.0	5.0	28.0	38.0
2016-08-01	4.0	2.0	4.0	6.0	97.0	5.0	15.0	13.0	8.0	3.0	41.0	11.0
2016-09-01	4.0	2.0	4.0	7.0	92.0	2.0	12.0	13.0	25.0	4.0	33.0	52.0
2016-10-01	12.0	4.0	5.0	5.0	85.0	7.0	9.0	12.0	14.0	6.0	60.0	45.0
2016-11-01	6.0	1.0	5.0	4.0	64.0	6.0	10.0	8.0	9.0	6.0	23.0	52.0
2016-12-01	20.0	1.0	11.0	13.0	17.0	19.0	66.0	34.0	28.0	12.0	139.0	111.0
2017-01-01	2.0	2.0	3.0	5.0	12.0	2.0	13.001	48.0	16.0	6.0	49.0	36.0
2017-02-01	5.0	2.0	6.0	8.0	8.0	5.0	20.0	14.0	15.0	4.0	96.0	62.0
2017-03-01	1.0	6.0	14.0	6.0	14.0	9.0	12.0	17.0	16.0	3.0	45.0	78.0
2017-04-01	8.0	3.0	5.0	3.0	56.0	3.0	8.0	13.0	22.0	3.0	47.0	67.0
2017-05-01	8.0	3.0	5.0	7.0	39.0	3.0	7.0	13.0	27.0	3.0	53.0	43.0
2017-06-01	2.0	1.0	11.0	6.0	35.0	4.0	4.0	10.0	13.0	4.0	25.0	49.0
2017-07-01	3.0	1.0	4.0	1.0	26.0	10.0	4.0	10.0	10.0	5.0	25.0	57.0
2017-08-01	1.0	1.0	5.0	2.0	4.0	6.0	1.0	2.0	8.0	3.0	37.0	28.0
